res15_svr,res30_svr,res45_svr,res15_mlp,res30_mlp,res45_mlp
19839.006884542763,19839.006884542763,19839.006884542763,52974.15786056115,52974.15786056115,52974.15786056115
19938.906934526098,19938.906934526098,19938.906934526098,51026.74248064072,51026.74248064072,51026.74248064072
20038.507733460498,20038.507733460498,20038.507733460498,50996.45466583354,50996.45466583354,50996.45466583354
20137.61177133779,20137.61177133779,20137.61177133779,50991.76808903572,50991.76808903572,50991.76808903572
20236.024503343317,20236.024503343317,20236.024503343317,50987.503448064315,50987.503448064315,50987.503448064315
20333.555494546148,20333.555494546148,20333.555494546148,50982.15085310237,50982.15085310237,50982.15085310237
20430.01952389446,20430.01952389446,20430.01952389446,50975.290287231204,50975.290287231204,50975.290287231204
20525.237636864313,20525.237636864313,20525.237636864313,50966.48539725434,50966.48539725434,50966.48539725434
20619.038136817384,20619.038136817384,20619.038136817384,50955.18331750094,50955.18331750094,50955.18331750094
20711.257505961847,20711.257505961847,20711.257505961847,50940.67550391947,50940.67550391947,50940.67550391947
20801.741247765443,20801.741247765443,20801.741247765443,50922.05408305041,50922.05408305041,50922.05408305041
20890.344643724726,20890.344643724726,20890.344643724726,50898.15704889794,50898.15704889794,50898.15704889794
20976.93341853065,20976.93341853065,20976.93341853065,50867.4993163565,50867.4993163565,50867.4993163565
21061.38430886925,21061.38430886925,21061.38430886925,50828.18653395356,50828.18653395356,50828.18653395356
21143.585532337063,21143.585532337063,21143.585532337063,50777.80831120016,50777.80831120016,50777.80831120016
21223.437154213003,21223.437154213003,21223.437154213003,50713.30754083684,50713.30754083684,50713.30754083684
21300.851351092224,21300.851351092224,21300.851351092224,50630.82309551683,50630.82309551683,50630.82309551683
21375.75257163249,21375.75257163249,21375.75257163249,50525.50481060155,50525.50481060155,50525.50481060155
21448.07759587047,21448.07759587047,21448.07759587047,50391.30302814853,50391.30302814853,50391.30302814853
21517.775495717153,21517.775495717153,21517.775495717153,50220.741074349535,50220.741074349535,50220.741074349535
21584.807500320716,21584.807500320716,21584.807500320716,50004.68919347759,50004.68919347759,50004.68919347759
21649.146770978,21649.146770978,21649.146770978,49732.174168013924,49732.174168013924,49732.174168013924
21710.778091169217,21710.778091169217,21710.778091169217,49390.281336955464,49390.281336955464,49390.281336955464
21769.69747807407,21769.69747807407,21769.69747807407,48964.23484654399,48964.23484654399,48964.23484654399
21825.911722593733,21825.911722593733,21825.911722593733,48437.774243031374,48437.774243031374,48437.774243031374
21879.437865445605,21879.437865445605,21879.437865445605,47793.9711153533,47793.9711153533,47793.9711153533
21930.3026173136,21930.3026173136,21930.3026173136,47016.629065357505,47016.629065357505,47016.629065357505
21978.541731325055,21978.541731325055,21978.541731325055,46092.35432427124,46092.35432427124,46092.35432427124
22024.199336287315,22024.199336287315,22024.199336287315,45013.24048170793,45013.24048170793,45013.24048170793
22067.327239156108,22067.327239156108,22067.327239156108,43779.86520346388,43779.86520346388,43779.86520346388
22107.984205130022,22107.984205130022,22107.984205130022,42403.98924910187,42403.98924910187,42403.98924910187
22146.235223577005,22146.235223577005,22146.235223577005,40910.10139069516,40910.10139069516,40910.10139069516
22182.15076770967,22182.15076770967,22182.15076770967,39334.95442715084,39334.95442715084,39334.95442715084
22215.80605554577,22215.80605554577,22215.80605554577,37724.63682191499,37724.63682191499,37724.63682191499
22247.28031922954,22247.28031922954,22247.28031922954,36129.47975422766,36129.47975422766,36129.47975422766
22276.656089261192,22276.656089261192,22276.656089261192,34597.90614993239,34597.90614993239,34597.90614993239
22304.018499597274,22304.018499597274,22304.018499597274,33170.759394025124,33170.759394025124,33170.759394025124
22329.454618956792,22329.454618956792,22329.454618956792,31877.451239412687,31877.451239412687,31877.451239412687
22353.052813009497,22353.052813009497,22353.052813009497,30734.559346049005,30734.559346049005,30734.559346049005
22374.90214144557,22374.90214144557,22374.90214144557,29746.681148536034,29746.681148536034,29746.681148536034
22395.091793241776,22395.091793241776,22395.091793241776,28908.793564425272,28908.793564425272,28908.793564425272
22413.710562759305,22413.710562759305,22413.710562759305,28209.22262511264,28209.22262511264,28209.22262511264
22430.8463686427,22430.8463686427,22430.8463686427,27632.500811478687,27632.500811478687,27632.500811478687
22446.585816847175,22446.585816847175,22446.585816847175,27161.693170719467,27161.693170719467,27161.693170719467
22461.013808510703,22461.013808510703,22461.013808510703,26780.051843815465,26780.051843815465,26780.051843815465
22474.21319281507,22474.21319281507,22474.21319281507,26472.042413439296,26472.042413439296,26472.042413439296
22486.264464451793,22486.264464451793,22486.264464451793,26223.87208330956,26223.87208330956,26223.87208330956
22497.245504829287,22497.245504829287,22497.245504829287,26023.667739221037,26023.667739221037,26023.667739221037
22507.231365729964,22507.231365729964,22507.231365729964,25861.433554123865,25861.433554123865,25861.433554123865
22516.294093752265,22516.294093752265,22516.294093752265,25728.886490615692,25728.886490615692,25728.886490615692
22524.502593553974,22524.502593553974,22524.502593553974,25619.237025516453,25619.237025516453,25619.237025516453
22531.92252764963,22531.92252764963,22531.92252764963,25526.957223846544,25526.957223846544,25526.957223846544
22538.616250304985,22538.616250304985,22538.616250304985,25447.56006530365,25447.56006530365,25447.56006530365
22544.642772914398,22544.642772914398,22544.642772914398,25377.401810683146,25377.401810683146,25377.401810683146
22550.057758139068,22550.057758139068,22550.057758139068,25313.51171569614,25313.51171569614,25313.51171569614
22554.913540023113,22554.913540023113,22554.913540023113,25253.44913716863,25253.44913716863,25253.44913716863
22559.259167286193,22559.259167286193,22559.259167286193,25195.18590438478,25195.18590438478,25195.18590438478
22563.140467012196,22563.140467012196,22563.140467012196,25137.010938891126,25137.010938891126,25137.010938891126
22566.60012600899,22566.60012600899,22566.60012600899,25077.453960476418,25077.453960476418,25077.453960476418
22569.677787199904,22569.677787199904,22569.677787199904,25015.225375721955,25015.225375721955,25015.225375721955
22572.410158519124,22572.410158519124,22572.410158519124,24949.169906626415,24949.169906626415,24949.169906626415
22574.83113191605,22574.83113191605,22574.83113191605,24878.23206922001,24878.23206922001,24878.23206922001
22576.971910223616,22576.971910223616,22576.971910223616,24801.43220273277,24801.43220273277,24801.43220273277
22578.86113980826,22578.86113980826,22578.86113980826,24717.852362475503,24717.852362475503,24717.852362475503
22580.525047091174,22580.525047091174,22580.525047091174,24626.632031602225,24626.632031602225,24626.632031602225
22581.98757720749,22581.98757720749,22581.98757720749,24526.974302338687,24526.974302338687,24526.974302338687
22583.270533249524,22583.270533249524,22583.270533249524,24418.16396313208,24418.16396313208,24418.16396313208
