res15_svr,res30_svr,res45_svr,res15_mlp,res30_mlp,res45_mlp
23364.133942738266,23364.133942738266,23364.133942738266,112102.4618607804,112102.4618607804,112102.4618607804
23464.033987710158,23464.033987710158,23464.033987710158,96301.35771518384,96301.35771518384,96301.35771518384
23563.634780203385,23563.634780203385,23563.634780203385,78490.03653064043,78490.03653064043,78490.03653064043
23662.738809818915,23662.738809818915,23662.738809818915,79790.84167486255,79790.84167486255,79790.84167486255
23761.15153124931,23761.15153124931,23761.15153124931,82565.52432323672,82565.52432323672,82565.52432323672
23858.68250894374,23858.68250894374,23858.68250894374,84858.4931495203,84858.4931495203,84858.4931495203
23955.14652107228,23955.14652107228,23955.14652107228,86741.3118602357,86741.3118602357,86741.3118602357
24050.36461213656,24050.36461213656,24050.36461213656,88405.69944775502,88405.69944775502,88405.69944775502
24144.165084280594,24144.165084280594,24144.165084280594,89983.3828455292,89983.3828455292,89983.3828455292
24236.38441819441,24236.38441819441,24236.38441819441,91529.38213736487,91529.38213736487,91529.38213736487
24326.868115457197,24326.868115457197,24326.868115457197,93034.61672561854,93034.61672561854,93034.61672561854
24415.47145522143,24415.47145522143,24415.47145522143,94438.31627990633,94438.31627990633,94438.31627990633
24502.060159275145,24502.060159275145,24502.060159275145,95633.70905719242,95633.70905719242,95633.70905719242
24586.510960717525,24586.510960717525,24586.510960717525,96466.24293250592,96466.24293250592,96466.24293250592
24668.71207272318,24668.71207272318,24668.71207272318,96727.21421083625,96727.21421083625,96727.21421083625
24748.563555131943,24748.563555131943,24748.563555131943,96154.47222169333,96154.47222169333,96154.47222169333
24825.97757786402,24825.97757786402,24825.97757786402,94467.00990317337,94467.00990317337,94467.00990317337
24900.87858140418,24900.87858140418,24900.87858140418,91464.09943861786,91464.09943861786,91464.09943861786
24973.203335804727,24973.203335804727,24973.203335804727,87166.72295618901,87166.72295618901,87166.72295618901
25042.90090080742,25042.90090080742,25042.90090080742,81874.36990319638,81874.36990319638,81874.36990319638
25109.932490762316,25109.932490762316,25109.932490762316,76037.70117022668,76037.70117022668,76037.70117022668
25174.271249012825,25174.271249012825,25174.271249012825,70090.97957714129,70090.97957714129,70090.97957714129
25235.901937307994,25235.901937307994,25235.901937307994,64434.76153294006,64434.76153294006,64434.76153294006
25294.82054658476,25294.82054658476,25294.82054658476,59463.61244003164,59463.61244003164,59463.61244003164
25351.033836127073,25351.033836127073,25351.033836127073,55472.32920206017,55472.32920206017,55472.32920206017
25404.558808648937,25404.558808648937,25404.558808648937,52538.34003216866,52538.34003216866,52538.34003216866
25455.42212926188,25455.42212926188,25455.42212926188,50533.70664694661,50533.70664694661,50533.70664694661
25503.65949657303,25503.65949657303,25503.65949657303,49234.54411179871,49234.54411179871,49234.54411179871
25549.31497431886,25549.31497431886,25549.31497431886,48419.79412691464,48419.79412691464,48419.79412691464
25592.44029197609,25592.44029197609,25592.44029197609,47916.24550259148,47916.24550259148,47916.24550259148
25633.09412270978,25633.09412270978,25633.09412270978,47603.99656964935,47603.99656964935,47603.99656964935
25671.341346827227,25671.341346827227,25671.341346827227,47405.81880971127,47405.81880971127,47405.81880971127
25707.25230861364,25707.25230861364,25707.25230861364,47274.10348040393,47274.10348040393,47274.10348040393
25740.902074041485,25740.902074041485,25740.902074041485,47180.31753869741,47180.31753869741,47180.31753869741
