res15_svr,res30_svr,res45_svr,res15_mlp,res30_mlp,res45_mlp
13513.568730109435,13513.568730109435,13513.568730109435,30024.125277101066,30024.125277101066,30024.125277101066
13563.518755101104,13563.518755101104,13563.518755101104,28240.40568628379,28240.40568628379,28240.40568628379
13613.319154568304,13613.319154568304,13613.319154568304,28576.774008524095,28576.774008524095,28576.774008524095
13662.871173506948,13662.871173506948,13662.871173506948,29097.776863515246,29097.776863515246,29097.776863515246
13712.077539509712,13712.077539509712,13712.077539509712,29661.29103718242,29661.29103718242,29661.29103718242
13760.84303511113,13760.84303511113,13760.84303511113,30224.348137415614,30224.348137415614,30224.348137415614
13809.075049785286,13809.075049785286,13809.075049785286,30748.784115475235,30748.784115475235,30748.784115475235
13856.68410627021,13856.68410627021,13856.68410627021,31206.0991150149,31206.0991150149,31206.0991150149
13903.584356246747,13903.584356246747,13903.584356246747,31582.490551273553,31582.490551273553,31582.490551273553
13949.694040818978,13949.694040818978,13949.694040818978,31877.841063042415,31877.841063042415,31877.841063042415
13994.935911720775,13994.935911720775,13994.935911720775,32101.07691619094,32101.07691619094,32101.07691619094
14039.237609700418,14039.237609700418,14039.237609700418,32265.11730745188,32265.11730745188,32265.11730745188
14082.531997103379,14082.531997103379,14082.531997103379,32383.225768903954,32383.225768903954,32383.225768903954
14124.757442272678,14124.757442272678,14124.757442272678,32467.06873932402,32467.06873932402,32467.06873932402
14165.858054006587,14165.858054006587,14165.858054006587,32526.040879279157,32526.040879279157,32526.040879279157
14205.783864944555,14205.783864944555,14205.783864944555,32567.301617257883,32567.301617257883,32567.301617257883
14244.490963384167,14244.490963384167,14244.490963384167,32596.11472219207,32596.11472219207,32596.11472219207
14281.941573654301,14281.941573654301,14281.941573654301,32616.259135123542,32616.259135123542,32616.259135123542
14318.104085773295,14318.104085773295,14318.104085773295,32630.404770311587,32630.404770311587,32630.404770311587
14352.953035696637,14352.953035696637,14352.953035696637,32640.417712451297,32640.417712451297,32640.417712451297
14386.469037998419,14386.469037998419,14386.469037998419,32647.592702805214,32647.592702805214,32647.592702805214
