res15_svr,res30_svr,res45_svr,res15_mlp,res30_mlp,res45_mlp
17960.570419403033,17960.570419403033,17960.570419403033,35896.38261928491,35896.38261928491,35896.38261928491
18060.47046938637,18060.47046938637,18060.47046938637,34449.96097652998,34449.96097652998,34449.96097652998
18160.07126832077,18160.07126832077,18160.07126832077,34887.22642438346,34887.22642438346,34887.22642438346
18259.17530619806,18259.17530619806,18259.17530619806,35099.58634117586,35099.58634117586,35099.58634117586
18357.588038203587,18357.588038203587,18357.588038203587,35170.32934175886,35170.32934175886,35170.32934175886
18455.119029406418,18455.119029406418,18455.119029406418,35191.95342481916,35191.95342481916,35191.95342481916
18551.583058754735,18551.583058754735,18551.583058754735,35198.41431130766,35198.41431130766,35198.41431130766
18646.801171724583,18646.801171724583,18646.801171724583,35200.36131429124,35200.36131429124,35200.36131429124
18740.601671677654,18740.601671677654,18740.601671677654,35200.982962345704,35200.982962345704,35200.982962345704
18832.821040822117,18832.821040822117,18832.821040822117,35201.218302935304,35201.218302935304,35201.218302935304
18923.304782625713,18923.304782625713,18923.304782625713,35201.34210924002,35201.34210924002,35201.34210924002
19011.908178585003,19011.908178585003,19011.908178585003,35201.43457550989,35201.43457550989,35201.43457550989
19098.49695339092,19098.49695339092,19098.49695339092,35201.519094305964,35201.519094305964,35201.519094305964
19182.947843729522,19182.947843729522,19182.947843729522,35201.602502378126,35201.602502378126,35201.602502378126
19265.149067197337,19265.149067197337,19265.149067197337,35201.686814951616,35201.686814951616,35201.686814951616
19345.000689073273,19345.000689073273,19345.000689073273,35201.77264400432,35201.77264400432,35201.77264400432
19422.414885952498,19422.414885952498,19422.414885952498,35201.860193583496,35201.860193583496,35201.860193583496
19497.316106492766,19497.316106492766,19497.316106492766,35201.94954954715,35201.94954954715,35201.94954954715
19569.64113073075,19569.64113073075,19569.64113073075,35202.040763902034,35202.040763902034,35202.040763902034
19639.339030577434,19639.339030577434,19639.339030577434,35202.13387935681,35202.13387935681,35202.13387935681
19706.371035181,19706.371035181,19706.371035181,35202.228936477426,35202.228936477426,35202.228936477426
19770.710305838296,19770.710305838296,19770.710305838296,35202.32597577998,35202.32597577998,35202.32597577998
19832.341626029523,19832.341626029523,19832.341626029523,35202.42503835099,35202.42503835099,35202.42503835099
19891.26101293439,19891.26101293439,19891.26101293439,35202.526166039264,35202.526166039264,35202.526166039264
19947.475257454073,19947.475257454073,19947.475257454073,35202.629401523554,35202.629401523554,35202.629401523554
20001.001400305973,20001.001400305973,20001.001400305973,35202.73478834437,35202.73478834437,35202.73478834437
20051.866152174003,20051.866152174003,20051.866152174003,35202.842370925224,35202.842370925224,35202.842370925224
20100.105266185514,20100.105266185514,20100.105266185514,35202.952194591635,35202.952194591635,35202.952194591635
