res15_svr,res30_svr,res45_svr,res15_mlp,res30_mlp,res45_mlp
18698.87286667353,18698.87286667353,18698.87286667353,26133.528721148905,26133.528721148905,26133.528721148905
18797.438516632978,18797.438516632978,18797.438516632978,26325.63884735142,26325.63884735142,26325.63884735142
18895.586892738622,18895.586892738622,18895.586892738622,26598.078254626835,26598.078254626835,26598.078254626835
18993.113799243234,18993.113799243234,18993.113799243234,26854.17004351262,26854.17004351262,26854.17004351262
19089.818074837545,19089.818074837545,19089.818074837545,27089.881809249655,27089.881809249655,27089.881809249655
19185.502800306313,19185.502800306313,19185.502800306313,27314.73333330077,27314.73333330077,27314.73333330077
19279.976470718157,19279.976470718157,19279.976470718157,27560.95157485602,27560.95157485602,27560.95157485602
19373.054121182504,19373.054121182504,19373.054121182504,27904.8018141093,27904.8018141093,27904.8018141093
19464.558395810036,19464.558395810036,19464.558395810036,28506.43703686928,28506.43703686928,28506.43703686928
19554.3205502435,19554.3205502435,19554.3205502435,29649.315166838354,29649.315166838354,29649.315166838354
19642.181378970705,19642.181378970705,19642.181378970705,31651.019294837333,31651.019294837333,31651.019294837333
19727.992059576263,19727.992059576263,19727.992059576263,34439.754736878735,34439.754736878735,34439.754736878735
19811.614907116982,19811.614907116982,19811.614907116982,37227.88214010607,37227.88214010607,37227.88214010607
19892.924032900497,19892.924032900497,19892.924032900497,39216.8278563233,39216.8278563233,39216.8278563233
19971.805903090273,19971.805903090273,19971.805903090273,40319.7972503681,40319.7972503681,40319.7972503681
20048.159793734187,20048.159793734187,20048.159793734187,40848.904259825365,40848.904259825365,40848.904259825365
20121.898140000685,20121.898140000685,20121.898140000685,41086.110709875655,41086.110709875655,41086.110709875655
20192.946778588448,20192.946778588448,20192.946778588448,41189.97915752433,41189.97915752433,41189.97915752433
20261.24508343574,20261.24508343574,20261.24508343574,41235.52651835687,41235.52651835687,41235.52651835687
20326.745995978472,20326.745995978472,20326.745995978472,41255.881477305156,41255.881477305156,41255.881477305156
20389.415952277497,20389.415952277497,20389.415952277497,41265.30375372468,41265.30375372468,41265.30375372468
20449.234710341654,20449.234710341654,20449.234710341654,41269.89661348097,41269.89661348097,41269.89661348097
20506.19508190412,20506.19508190412,20506.19508190412,41272.28804080273,41272.28804080273,41272.28804080273
20560.302573754823,20560.302573754823,20560.302573754823,41273.62789497165,41273.62789497165,41273.62789497165
20611.574944484273,20611.574944484273,20611.574944484273,41274.43337815134,41274.43337815134,41274.43337815134
20660.04168314855,20660.04168314855,20660.04168314855,41274.94705617719,41274.94705617719,41274.94705617719
20705.743416917165,20705.743416917165,20705.743416917165,41275.28938058541,41275.28938058541,41275.28938058541
20748.73125521419,20748.73125521419,20748.73125521419,41275.524464877475,41275.524464877475,41275.524464877475
20789.066078206797,20789.066078206797,20789.066078206797,41275.689042806516,41275.689042806516,41275.689042806516
20826.817777737404,20826.817777737404,20826.817777737404,41275.80563529573,41275.80563529573,41275.80563529573
20862.064458937362,20862.064458937362,20862.064458937362,41275.888823852,41275.888823852,41275.888823852
20894.89161080671,20894.89161080671,20894.89161080671,41275.94842942259,41275.94842942259,41275.94842942259
20925.39125400056,20925.39125400056,20925.39125400056,41275.99124313541,41275.99124313541,41275.99124313541
20953.661073935033,20953.661073935033,20953.661073935033,41276.02203984343,41276.02203984343,41276.02203984343
20979.80354712021,20979.80354712021,20979.80354712021,41276.04421103635,41276.04421103635,41276.04421103635
21003.925068352546,21003.925068352546,21003.925068352546,41276.06018028802,41276.06018028802,41276.06018028802
21026.135086061462,21026.135086061462,21026.135086061462,41276.07168570091,41276.07168570091,41276.07168570091
21046.545252712574,21046.545252712574,21046.545252712574,41276.07997639146,41276.07997639146,41276.07997639146
21065.268596730795,21065.268596730795,21065.268596730795,41276.085951151756,41276.085951151756,41276.085951151756
21082.418721927945,21082.418721927945,21082.418721927945,41276.09025715778,41276.09025715778,41276.09025715778
21098.109039908613,21098.109039908613,21098.109039908613,41276.09336059994,41276.09336059994,41276.09336059994
21112.45204039252,21112.45204039252,21112.45204039252,41276.095597375956,41276.095597375956,41276.095597375956
21125.558603836984,21125.558603836984,21125.558603836984,41276.09720953883,41276.09720953883,41276.09720953883
21137.537360176655,21137.537360176655,21137.537360176655,41276.09837152937,41276.09837152937,41276.09837152937
21148.49409692411,21148.49409692411,21148.49409692411,41276.09920906808,41276.09920906808,41276.09920906808
21158.53121930019,21158.53121930019,21158.53121930019,41276.0998127649,41276.0998127649,41276.0998127649
21167.74726449129,21167.74726449129,21167.74726449129,41276.10024792577,41276.10024792577,41276.10024792577
21176.23647156711,21176.23647156711,21176.23647156711,41276.10056161975,41276.10056161975,41276.10056161975
21184.088408040057,21184.088408040057,21184.088408040057,41276.10078777192,41276.10078777192,41276.10078777192
21191.38765351071,21191.38765351071,21191.38765351071,41276.100950834145,41276.100950834145,41276.100950834145
